id,texte,toxique,obscene,menace,insulte
a,C’est pas classe c’est pas élégant c’est juste VULGAIRE RIDICULE ET MOCHE!!!,1,0,0,1
b,rhabille toi c'est pas la mode ça,1,0,0,0
c,"Cochonne!!! Bloque moi si tu veux après, mais sache le, tu es habillée comme une cochonne. Ya 20 ans, une fille habillé comme toi dans la rue, on appelait ça une p**e",1,1,0,1
d,sale pute,1,1,0,1
e,Tu prends cmb pour 1h? S'il te plaît va t'habiller c'est juste moche,1,0,0,1
f,Aucune dignité ptite pu*e ! Tu défile a poil pour créer le buzz ton manque de confiance en toi te pousse a en faire toujours plus c’est ridicule,1,1,0,1
g,Mon dieu il manquait plus qu'elle ,1,0,0,1
h,Aucune star ici je vois juste deux trash,1,0,0,1
i,La mère de Paris? Tu te prends pour qui enft,1,0,0,0
j,On s’en fous si tu veux raconter ta vie tu prend ton carnet secret et tu écrit jusqu’à l’épuisement.,1,0,0,0
k,ftg,1,0,0,1
l,Mais wsh c’est normal frérot tu fait 1tonne,1,0,0,1
m,Pour le même prix il a un abonnement de 1 mois dans une salle mais il viens se plaindre en vidéo,1,0,0,0
n,"Juste ferme ta gueule, si c'est pour raconter ce genre de connerie. 
Va aux Etats-Unis, ou renseigne toi juste 30s (tu vas voir c'est pas si long) et vient me dire que ça arrange les choses, et que c'est quelque chose de ""sain"".
Putain, ça me met tellement hors de moi, ça...",1,0,0,0
o,En regardant la vidéo j'avais envie de la frapper c'est une AW,1,0,1,0
p,T'es tellement détestable,1,0,0,0
q,Ferme ta gueule tu sers à rien,1,0,0,1
r,Mange les mes couilles Ultia,1,1,0,0
s,Retourne sucer t coréen gays qui danse et arrête de l’ouvrir,1,1,0,1
t,Va te faire foutre p’tit enculé de tes morts elle n’as pas fais exprès c’est un sport à risque et à accident donc retourne sous la jupe de ta mère et va pleure t’es grands morts,1,1,0,1
u,"Faut retourner à la cuisine Manon, tu fais du mal aux autres quand tu en sors",1,0,0,0
v,"Manon follasse féministe qui se fait défendre par squeezie aka le plus gros gobeur de chatte il nous fait le mâle alpha protecteur alors qu'il met du vernis sur ses doigts 
, qu'elle pine sa mams elle et toi avec, il a vrmnt lâché cassez vous des réseaux  #manon #GPExplorer",1,1,0,1
w,"J'adore le concept ! J'ai rigolé du début à la fin mais je trouve aussi que c'est important de revenir sur le mal qui peut être dis lors de live Twitch ou sur Internet en règles générales, 
ça a été bien amené et pour ça merci. Les coupables, les viewers et les jugent étaient parfait aussi ! ",0,0,0,0
x,"Super vidéo encore très intéressante qui se détache de ce qu’on voit actuellement. J’aime bcp les vidéos que tu nous partages ces derniers temps qui sont bien différentes de l’époque!
 Booom t’es un monstre",0,0,0,0
y,"Vraiment je tiens à féliciter les commentaires qui sont d une telle bienveillance que j en suis sur le cul.
Je m attendais totalement à l inverse comme j ai pu voir sur d autres vidéos sur les trouples .
T as vraiment une belle communauté",0,0,0,0
z,"En toute sincérité vous n' avez pas idée du bonheur que vous apportez.
 Quel plaisir de voir une jeunesse qui malgré le succès (tellement mérité) apporte autant de bonne humeur,  de bienveillance, de good vibes, d' autodérision et de complicité. 
Pas de vulgarités, vous êtes simples, naturels et tellement beaux ensemble. Quel écart avec ce que nous vend W9, NRJ12, pour ne citer qu' eux! 
Ne changez rien car vous êtes un merveilleux exemple pour toutes celles et ceux qui vous suivent. 
Un jeune papa cool (qui essaye en tout cas de l' être pour ses enfants:)) Longue vie à vous 2! ",0,0,0,0
aa,"Honnêtement, on regarde la vidéo pour avoir des potins, pour spill the TEA, mais personne ne répond aux questions ...c'est un peu décevant",0,0,0,0
ab,"Encore un très bel épisode de HOT ONES ! Ce que j’aime dans cette émission, même si c’est du divertissement, ce sont ces personnalités qui parlent avec le coeur. 
Même si je ne suis pas un ultra fan de Léna, j’apprécie sa manière de s’exprimer et son courage face à toutes les critiques qu’elle a pu rencontrer. 
Personne ne devrait subir autant de méchanceté gratuitement.
 Aujourd’hui, elle peut être fière de son parcours même si elle n’est pas chanteuse, actrice ou réalisatrice.
 Finalement, à force de faire « rien » (comme elle le dit), c’est devenu une femme d’affaires à gérer ses différentes activités ! Et ça… c’est loin d’être rien ! Bravo !",0,0,0,0
ac,C'était bonne enfant y a que les chieuses en puissance qui trouvent pas ça drôle,1,0,0,1
ad,T’as qu’à arrêter d’ouvrir tes cuisses à n’importe qui ma grognasse,1,1,0,1
ae,t’en as même pas vu la couleur et t’ouvres ta sale gueule de rat pitié arrête de polluer mes mentions et va te p3ndre,1,0,1,1
af,Mais elle parle comme une débile cest incroyable ,1,0,1,0
ag,"A un 1er date j'ai proposé de lui apprendre à faire les lasagnes.
Et c'était super sympa car il a bossé tout coupé tourné etc. c'était une vraie activité à 2 pour apprendre à se connaître et rigoler.
Pas juste bobonne en cuisine et lui qui s'enfile des bières comme ce lourd.",0,0,0,0
